nombre,categoria_maps,telefono,telefono_norm,posible_celular,whatsapp_link,email,ciudad,calificacion,sitio_web,ecommerce,fuente,url_listing
Distribuidora San Martín,Tienda de comestibles mayorista,011 4986-6784,+541149866784,SI,https://wa.me/541149866784,,"Av. Gral. San Martín 4902, B1752 La Tablada, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+San+Mart%C3%ADn/data=!4m7!3m6!1s0x95bcc914f96b9391:0x48cadd41ef4ea481!8m2!3d-34.6812665!4d-58.5197926!16s%2Fg%2F11gr1cypd5!19sChIJkZNr-RTJvJURgaRO70Hdykg?authuser=0&hl=es-419&rclk=1
Distribuidora Rel SRL,Distribuidor de cerveza,011 4652-4064,+541146524064,SI,https://wa.me/541146524064,,"Av. Gral. San Martín 4891, B1766GJJ La Tablada, Provincia de Buenos Aires",,http://www.distribuidorarel.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Rel+SRL/data=!4m7!3m6!1s0x95bcc8c34cd3f4e7:0x73d222af3ca1e147!8m2!3d-34.6812683!4d-58.5200885!16s%2Fg%2F1hc89qb_2!19sChIJ5_TTTMPIvJURR-GhPK8i0nM?authuser=0&hl=es-419&rclk=1
Distribuidora Marclad,Proveedor mayorista de alimentos,011 5606-1866,+541156061866,SI,https://wa.me/541156061866,,"Agustín Magaldi 1110, B1657 Loma Hermosa, Provincia de Buenos Aires",,https://distrimarclad.com/es/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Marclad/data=!4m7!3m6!1s0x95bcb9ecb06a6017:0x62a9029df00bc0cd!8m2!3d-34.5687638!4d-58.6001946!16s%2Fg%2F11ljt1381j!19sChIJF2BqsOy5vJURzcAL8J0CqWI?authuser=0&hl=es-419&rclk=1
Distribuidora Belgrano,Servicio de distribución,011 4697-5685,+541146975685,SI,https://wa.me/541146975685,,"Cpto Ibáñez 695, Morón, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Belgrano/data=!4m7!3m6!1s0x95bc95736fe32a1f:0xa468fdfed49e65f3!8m2!3d-34.6856684!4d-58.6360174!16s%2Fg%2F1th0cmg4!19sChIJHyrjb3OVvJUR82We1P79aKQ?authuser=0&hl=es-419&rclk=1
DISTRAR - Distribuidora Argentina de artículos informáticos,Tienda de informática,011 15-3341-4253,+54111533414253,NO,,,"Gualeguaychú 2054, C1417 Cdad. Autónoma de Buenos Aires",,https://www.distrar.com/,,GoogleMaps,https://www.google.com/maps/place/DISTRAR+-+Distribuidora+Argentina+de+art%C3%ADculos+inform%C3%A1ticos/data=!4m7!3m6!1s0x95bcca0c2fc759a5:0x6f4a3f6987ca47b8!8m2!3d-34.616308!4d-58.500709!16s%2Fg%2F11c5094gr0!19sChIJpVnHLwzKvJURuEfKh2k_Sm8?authuser=0&hl=es-419&rclk=1
Distribuidora Velazco,Servicio de distribución,011 4223-5015,+541142235015,SI,https://wa.me/541142235015,,"Av. República Argentina 5502, B1861 Platanos, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Velazco/data=!4m7!3m6!1s0x95a32623a8df895f:0x8620e0a344220491!8m2!3d-34.7781008!4d-58.1779199!16s%2Fg%2F1v8gd6k5!19sChIJX4nfqCMmo5URkQQiRKPgIIY?authuser=0&hl=es-419&rclk=1
Distribuidora y Bizcochuelos Agustin,Comercio,011 2818-6722,+541128186722,SI,https://wa.me/541128186722,,"Fray Jose Achaval 3848, B1824FQN Monte Chingolo, Provincia de Buenos Aires",,http://pency.app/distribuidoraagustin,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+y+Bizcochuelos+Agustin/data=!4m7!3m6!1s0x95bcd365de14fbf5:0x38116957cc18dee5!8m2!3d-34.738597!4d-58.3735729!16s%2Fg%2F11bbrlm9_r!19sChIJ9fsU3mXTvJUR5d4YzFdpETg?authuser=0&hl=es-419&rclk=1
DISTRIBUIDORA MADACILO,Tienda de bebidas alcohólicas,011 4650-3021,+541146503021,SI,https://wa.me/541146503021,,"Av. Pres. Perón 1662, B1706CFO Gran Buenos Aires, Provincia de Buenos Aires",,http://www.madacilo.com.ar/,,GoogleMaps,https://www.google.com/maps/place/DISTRIBUIDORA+MADACILO/data=!4m7!3m6!1s0x95bcb877f23d6155:0xfbd70fb0827db5c8!8m2!3d-34.6356197!4d-58.5881561!16s%2Fg%2F1wnf26yw!19sChIJVWE98ne4vJURyLV9grAP1_s?authuser=0&hl=es-419&rclk=1
Distribuidora Don Juan SRL,Mayorista,011 4461-6400,+541144616400,SI,https://wa.me/541144616400,,"JYI San Justo Buenos Aires AR, Ramón Lorenzo Falcón 3883, B1754",,http://www.donjuansrl.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Don+Juan+SRL/data=!4m7!3m6!1s0x95bcc64c76d1b16d:0x968e1ae5c67725b9!8m2!3d-34.6783642!4d-58.5832953!16s%2Fg%2F1tc_9w3q!19sChIJbbHRdkzGvJURuSV3xuUajpY?authuser=0&hl=es-419&rclk=1
DB Distribuidora Argentina Fabrica Barnices,Mayorista,03327 15-44-3990,+54332715443990,NO,,,"Area de Promoción El Triángulo Buenos Aires AR, Watt 2196, B1615 AOD",,http://www.dbdistribuidora.com/,,GoogleMaps,https://www.google.com/maps/place/DB+Distribuidora+Argentina+Fabrica+Barnices/data=!4m7!3m6!1s0x95bca37ca7e909d7:0xbd0574f9e93312f2!8m2!3d-34.461682!4d-58.6975961!16s%2Fg%2F11ffnxzvyt!19sChIJ1wnpp3yjvJUR8hIz6fl0Bb0?authuser=0&hl=es-419&rclk=1
Distribuidora Tola,Distribuidor de cerveza,011 5133-5312,+541151335312,SI,https://wa.me/541151335312,,"25 de Mayo, B1834 José Marmol, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Tola/data=!4m7!3m6!1s0x95bcd32c6fc9fb05:0xff73c2454ef76345!8m2!3d-34.7805396!4d-58.3755451!16s%2Fg%2F11hbbssds9!19sChIJBfvJbyzTvJURRWP3TkXCc_8?authuser=0&hl=es-419&rclk=1
Distribuidora El Galponcito,Tienda de comestibles mayorista,011 6267-6729,+541162676729,SI,https://wa.me/541162676729,,"CLM La Tablada Buenos Aires AR, Mariano Moreno 5208, B1751",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+El+Galponcito/data=!4m7!3m6!1s0x95bcc954edce7d95:0xf9cc538f2c68740b!8m2!3d-34.684451!4d-58.5192525!16s%2Fg%2F11gn206hd9!19sChIJlX3O7VTJvJURC3RoLI9TzPk?authuser=0&hl=es-419&rclk=1
Distribuidora de Café - Granos y Molido. Argentina - Buenos Aires - Patagonia - Norte,Tostaderos de café,0297 15-544-4791,+54297155444791,NO,,,"Montiel 110, C1408 Cdad. Autónoma de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+de+Caf%C3%A9+-+Granos+y+Molido.+Argentina+-+Buenos+Aires+-+Patagonia+-+Norte/data=!4m7!3m6!1s0x95bcc9e354217b7b:0x10edbb97fd485460!8m2!3d-34.6404281!4d-58.5262487!16s%2Fg%2F11r3zmk5l8!19sChIJe3shVOPJvJURYFRI_Ze77RA?authuser=0&hl=es-419&rclk=1
EfeGe Distribuidora de Distribuidora Nopthon SRL,Servicio de distribución,011 4441-2902,+541144412902,SI,https://wa.me/541144412902,,"Catriel 3585, B1752 Lomas del Mirador, Provincia de Buenos Aires",,http://www.efegedistribuidora.com.ar/,,GoogleMaps,https://www.google.com/maps/place/EfeGe+Distribuidora+de+Distribuidora+Nopthon+SRL/data=!4m7!3m6!1s0x95bcc891081532a1:0x7e1b71783810af27!8m2!3d-34.6750882!4d-58.5394896!16s%2Fg%2F11bbrprkkm!19sChIJoTIVCJHIvJURJ68QOHhxG34?authuser=0&hl=es-419&rclk=1
Leo Rodriguez Distribuidora,Tienda de suministros para peluquería,011 7160-5604,+541171605604,SI,https://wa.me/541171605604,,"Int. Manuel Quindimil 600, B1824 Lanús, Provincia de Buenos Aires",,http://www.leorodriguezdistribuidora.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Leo+Rodriguez+Distribuidora/data=!4m7!3m6!1s0x95bccce81d4e9d31:0xd0c131fea54e4cfd!8m2!3d-34.6937046!4d-58.39763!16s%2Fg%2F11g88vc2gf!19sChIJMZ1OHejMvJUR_UxOpf4xwdA?authuser=0&hl=es-419&rclk=1
Dietetica-Distribuidora Positiva,Tienda de frutos secos,011 3493-8193,+541134938193,SI,https://wa.me/541134938193,,"Argentina 4453, B1766 La Tablada, Provincia de Buenos Aires",,http://www.positivamarket.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Dietetica-Distribuidora+Positiva/data=!4m7!3m6!1s0x95bcc797a7c850d5:0xacda52075780656c!8m2!3d-34.6815044!4d-58.5407867!16s%2Fg%2F11l98h3rl5!19sChIJ1VDIp5fHvJURbGWAVwdS2qw?authuser=0&hl=es-419&rclk=1
Refrigeracion Distribuidora Belgrano,Proveedor de repuestos de electrodomésticos,011 3158-0698,+541131580698,SI,https://wa.me/541131580698,,"Carlos Braggio 1236, B1876 Bernal Oeste, Provincia de Buenos Aires",,http://distribuidorabelgrano.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Refrigeracion+Distribuidora+Belgrano/data=!4m7!3m6!1s0x95a32d2c5c0b4cb1:0x83f54164a0fa3491!8m2!3d-34.738962!4d-58.3235335!16s%2Fg%2F11g0l3bs6v!19sChIJsUwLXCwto5URkTT6oGRB9YM?authuser=0&hl=es-419&rclk=1
Distribuidora Mayjo | Morón,Tienda de artículos de fiesta,011 15-5962-5786,+54111559625786,NO,,,"B1708FGS, Av. Eva Perón 4598, B1708 FGS, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Mayjo+%7C+Mor%C3%B3n/data=!4m7!3m6!1s0x95bcc6d112173b89:0xccfce4d505dc70af!8m2!3d-34.6977617!4d-58.63835!16s%2Fg%2F11fy1r_v7k!19sChIJiTsXEtHGvJURr3DcBdXk_Mw?authuser=0&hl=es-419&rclk=1
Santa Planta Distribuidora de Grow Shops,Mayorista,011 15-6355-6923,+54111563556923,NO,,,"Av. Amancio Alcorta 2184, C1283 Cdad. Autónoma de Buenos Aires",,http://www.santaplanta.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Santa+Planta+Distribuidora+de+Grow+Shops/data=!4m7!3m6!1s0x95bccb2ecf3628c3:0xe28ee532a82b3259!8m2!3d-34.6413169!4d-58.3924745!16s%2Fg%2F11f3t_9r15!19sChIJwyg2zy7LvJURWTIrqDLljuI?authuser=0&hl=es-419&rclk=1
Distribuidora Zucchi,Servicio de distribución,02226 47-7914,+542226477914,SI,https://wa.me/542226477914,,"CKA, Saavedra 555, B1814 Cañuelas, Provincia de Buenos Aires",,http://www.distribuidorazucchi.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Zucchi/data=!4m7!3m6!1s0x95bd1f71a2410e81:0x6775dfcf4d92a2df!8m2!3d-35.0496284!4d-58.7526771!16s%2Fg%2F11ggr5lt5r!19sChIJgQ5BonEfvZUR36KSTc_fdWc?authuser=0&hl=es-419&rclk=1
Polesie Argentina - Distribuidora M.T.F S.A,Juguetería,011 15-7143-5864,+54111571435864,NO,,,"Evita 395, B1768 Villa Madero, Provincia de Buenos Aires",,https://web-mayoristas.web.app/,,GoogleMaps,https://www.google.com/maps/place/Polesie+Argentina+-+Distribuidora+M.T.F+S.A/data=!4m7!3m6!1s0x95bccfab9ae25933:0xa6d0a441a00b6011!8m2!3d-34.6950482!4d-58.5006786!16s%2Fg%2F11n52_pj0w!19sChIJM1nimqvPvJUREWALoEGk0KY?authuser=0&hl=es-419&rclk=1
Distribuidora Platanos,Tienda de alimentación,,,,,,"B1861CIT, Av. República Argentina 5600-5502, B1861CIT Platanos, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Platanos/data=!4m7!3m6!1s0x95a32622c429deff:0xe0684fcabfe1ea40!8m2!3d-34.779145!4d-58.1788204!16s%2Fg%2F11f_4s88dt!19sChIJ_94pxCImo5URQOrhv8pPaOA?authuser=0&hl=es-419&rclk=1
GLAM Distribuciones,,011 5276-2640,+541152762640,SI,https://wa.me/541152762640,,"Av. del Libertador 6550, C1428 ARV, Cdad. Autónoma de Buenos Aires",,http://www.glamdistribuciones.com.ar/,,GoogleMaps,https://www.google.com/maps/place/GLAM+Distribuciones/data=!4m7!3m6!1s0x95bcb42e18359d73:0x381780d04695fb6f!8m2!3d-34.5518442!4d-58.4522097!16s%2Fg%2F11g03qh6x7!19sChIJc501GC60vJURb_uVRtCAFzg?authuser=0&hl=es-419&rclk=1
Distribuidora Integral,Ferretería,011 3082-2062,+541130822062,SI,https://wa.me/541130822062,,"Cnel. Albariños 2650, B1826 Remedios de Escalada, Provincia de Buenos Aires",,http://www.distri-integral.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Integral/data=!4m7!3m6!1s0x95bccd454d53e61d:0x3c2cce09cd0cd5ce!8m2!3d-34.7274899!4d-58.3837325!16s%2Fg%2F11g88vkcgg!19sChIJHeZTTUXNvJURztUMzQnOLDw?authuser=0&hl=es-419&rclk=1
Distribuidora de bebidas,Distribuidor de cerveza,011 4305-3715,+541143053715,SI,https://wa.me/541143053715,,"C1137ACF CABA AR, Salta 1345, C1137ACF, C1137 ACF",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+de+bebidas/data=!4m7!3m6!1s0x95bccbfcc2aaebf5:0xd0221a24a60ca421!8m2!3d-34.6240487!4d-58.383051!16s%2Fg%2F11fj8dcbdk!19sChIJ9euqwvzLvJURIaQMpiQaItA?authuser=0&hl=es-419&rclk=1
Distribuidora Pompeya,Tienda de productos de belleza,011 3939-0021,+541139390021,SI,https://wa.me/541139390021,,"Av. Sáenz 1125, C1437DOD Cdad. Autónoma de Buenos Aires",,https://distripompeya.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Pompeya/data=!4m7!3m6!1s0x95bccb76174f50a3:0x525b5bc674098fe!8m2!3d-34.6533667!4d-58.4167381!16s%2Fg%2F11byl41wmx!19sChIJo1BPF3bLvJUR_phAZ7y1JQU?authuser=0&hl=es-419&rclk=1
SG DISTRIBUIDORA,,011 7119-6927,+541171196927,SI,https://wa.me/541171196927,,"Av. Calle Real 1714, B1716 Merlo, Provincia de Buenos Aires",,https://www.mercadolibre.com.ar/pagina/distribuidorasg,,GoogleMaps,https://www.google.com/maps/place/SG+DISTRIBUIDORA/data=!4m7!3m6!1s0x95bcc19f9d04f5bb:0x601555137c3cce96!8m2!3d-34.6825945!4d-58.7000593!16s%2Fg%2F11wtx3n2ny!19sChIJu_UEnZ_BvJURls48fBNVFWA?authuser=0&hl=es-419&rclk=1
DBA Bebidas,,011 4554-5527,+541145545527,SI,https://wa.me/541145545527,,"Estomba 108, C1427 Cdad. Autónoma de Buenos Aires",,https://dba.com.ar/,,GoogleMaps,https://www.google.com/maps/place/DBA+Bebidas/data=!4m7!3m6!1s0x95bcb60a3c646a39:0xf9d3678006d31ac1!8m2!3d-34.5896262!4d-58.4703735!16s%2Fg%2F11h40z_rsl!19sChIJOWpkPAq2vJURwRrTBoBn0_k?authuser=0&hl=es-419&rclk=1
Distribuidora Ag SRL,Servicio de distribución,0341 462-3668,+543414623668,SI,https://wa.me/543414623668,,"J M Pueyrred n, Pueyrredón 5033, Rosario, Santa Fe",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Ag+SRL/data=!4m7!3m6!1s0x95b7abf406379781:0xbadc40e36997deb1!8m2!3d-32.9967509!4d-60.6692486!16s%2Fg%2F1vxcxllq!19sChIJgZc3BvSrt5URsd6XaeNA3Lo?authuser=0&hl=es-419&rclk=1
